,Location,Year,Avg_MinTemp,Avg_MaxTemp,Avg_Rainfall,Avg_Evaporation,Avg_Sunshine,Avg_WindSpeed,RainyDays_Percent,HeavyRain_Percent,Rainfall_std,Avg_TempRange,TempRange_std
150,Hobart,2011,8.95568862275449,17.452694610778444,1.6978978978978978,3.279279279279279,6.5341317365269465,46.734939759036145,0.5149700598802395,0.011976047904191617,3.7822542716065417,8.497005988023952,3.444452826391633
151,Hobart,2012,8.977014925373135,17.69313432835821,1.3570149253731345,3.2644776119402983,6.21044776119403,46.832835820895525,0.43283582089552236,0.008955223880597015,3.776424272272345,8.716119402985075,3.373759676823133
152,Hobart,2013,9.024629080118695,17.667359050445103,1.7400593471810089,3.6035608308605345,6.265578635014837,49.74777448071217,0.44807121661721067,0.01483679525222552,4.485462363627081,8.642729970326409,3.5224216712147283
153,Hobart,2014,9.312396694214875,18.282644628099174,1.3407202216066483,3.616298342541436,6.6386740331491705,46.294765840220386,0.4022038567493113,0.011019283746556474,3.6132669938338124,8.970247933884297,3.604830506006212
154,Hobart,2015,8.7,17.62258953168044,1.4637119113573407,3.963888888888889,6.785277777777777,47.83379501385041,0.44352617079889806,0.013774104683195593,5.017174566216079,8.92258953168044,3.4590320420699943
155,Hobart,2016,9.756284153005465,18.221584699453555,1.8950819672131147,3.877049180327869,6.390410958904109,49.646408839779006,0.46174863387978143,0.01092896174863388,4.385071545484337,8.465300546448088,3.3905789366806838
156,Hobart,2017,10.444886363636364,19.58685714285714,0.9227272727272727,4.1477272727272725,6.764942528735632,44.14942528735632,0.3125,0.005681818181818182,3.139999172801612,9.121714285714285,3.434056518284427
157,Katherine,2013,20.29280821917808,35.03120805369127,2.685430463576159,7.6082758620689654,,39.466887417218544,0.1513157894736842,0.03618421052631579,12.320155526863774,14.7993031358885,3.736532862743316
158,Katherine,2014,20.05492957746479,34.91772853185596,3.0610027855153206,7.275942028985507,,39.650704225352115,0.2154696132596685,0.03867403314917127,10.143761882894516,14.85762711864407,4.159648467516635
159,Katherine,2015,19.916901408450705,34.752941176470586,3.0127777777777776,7.283815028901733,,38.8728813559322,0.18232044198895028,0.04696132596685083,12.074686478074474,14.821142857142856,4.123718362278856
160,Katherine,2016,21.684285714285714,35.769101123595505,2.011797752808989,7.458160237388724,,37.28045325779037,0.20498614958448755,0.036011080332409975,7.7820397140527025,14.093063583815029,3.532221599479489
161,Katherine,2017,20.892638036809817,33.43090909090909,6.748809523809523,6.784516129032258,,38.461077844311376,0.3411764705882353,0.12352941176470589,15.189454221016751,12.44367088607595,3.798347504324156
162,Launceston,2008,9.564516129032258,20.822580645161292,1.761290322580645,8.039130434782608,,45.096774193548384,0.5483870967741935,0.0,3.7171384531074296,11.258064516129032,3.719029819146242
163,Launceston,2009,8.171074380165289,18.892857142857142,2.0504109589041097,5.801694915254237,,39.047486033519554,0.3835616438356164,0.0136986301369863,4.544442457357253,10.719060773480663,3.6672687462521982
164,Launceston,2010,7.976712328767123,18.96153846153846,2.284657534246575,,,34.14520547945205,0.3780821917808219,0.021917808219178082,5.286919916532079,10.98021978021978,3.4008982699387933
165,Launceston,2011,7.6719402985074625,18.53283582089552,2.0680597014925373,,,34.59939759036145,0.373134328358209,0.023880597014925373,5.426561487467307,10.86089552238806,3.6060651384112465
166,Launceston,2012,7.22,18.539402985074627,1.7223880597014924,,,34.309309309309306,0.39104477611940297,0.008955223880597015,4.383810065146774,11.319402985074626,3.6025788669792402
167,Launceston,2013,7.397597597597598,18.53343373493976,2.599696048632219,,,36.26234567901235,0.3663663663663664,0.03303303303303303,6.791482732968548,11.109638554216868,3.943463426539508
168,Launceston,2014,7.572576177285318,19.374515235457064,1.61536312849162,,,34.16480446927374,0.3296398891966759,0.013850415512465374,4.636714252080174,11.801939058171746,3.5000034296250173
169,Launceston,2015,7.276712328767124,18.83890410958904,1.3967123287671233,,,36.06353591160221,0.31232876712328766,0.0027397260273972603,3.9076060146743306,11.562191780821918,3.6006326697484328
170,Launceston,2016,8.591256830601093,18.96393442622951,2.7601092896174864,,,36.785714285714285,0.39617486338797814,0.030054644808743168,7.838957436206245,10.372677595628415,3.7631110620912676
171,Launceston,2017,8.987719298245615,20.55,1.2666666666666666,,,33.02325581395349,0.27325581395348836,0.005813953488372093,3.5255204038052397,11.6,3.776459593167061
