,Location,Avg_Mintemp,Avg_MaxTemp,Avg_Rainfall,Avg_Evaporation,Avg_Sunshine,Avg_WindSpeed,RainDays_Percentage,HeavyRainDays_Percentage,Rainfall_std,Avg_TempRange,TempRange_std,Wind_Dir,Moisture_Index,Rainfall_std_norm,Temp_std_norm,Climate_Variability_Score
20,Mildura,10.733954107083472,24.841536415031594,0.9450249584026623,5.935951557093426,8.468104347826086,37.17082917082917,0.1935483870967742,0.009311606252078483,5.054717843533813,14.107582307948121,4.601490513363084,SSW,-4.990926598690764,0.14856248890511742,0.7485845293193573,0.44857350911223737
21,Moree,12.78625525946704,26.886860546601262,1.6032963095664636,7.629964221824686,8.896590355577205,39.79942487419123,0.19936930623686056,0.02207428170988087,6.514413291179662,14.096774193548388,4.158925032549867,NNE,-6.0266679122582225,0.2420619450898298,0.6453233568791377,0.44369265098448374
22,MountGambier,8.8274678111588,19.828128095080885,2.087359364659166,3.4370722433460075,6.51116673084328,42.86909943086709,0.5244224422442244,0.01419141914191419,5.185557092482369,11.001155878467635,5.383651976803697,S,-1.3497128786868413,0.15694327727027663,0.9310816133757683,0.5440124453230225
23,MountGinini,3.6511929824561404,11.777946768060836,3.2452414772727276,,,46.18821362799263,0.4279325765393877,0.04678362573099415,8.973171701562263,8.163454097784031,3.697442526778709,W,,0.39955546514644474,0.537648387473442,0.46860192630994335
24,Newcastle,13.740239790183589,24.098282647584973,3.153021509047457,,,,0.3786440677966102,0.04508474576271186,10.862951458916951,10.416445312499999,3.9641573917579307,,,0.5206035782350391,0.5998793812110964,0.5602414797230677
25,Nhil,8.992797960484385,22.398406628425747,0.9329073482428115,,,42.542437779195915,0.3282345442957298,0.0038240917782026767,3.24739865118562,13.405608667941365,5.432598990178469,W,,0.03279631185134868,0.9425021290003459,0.4876492204258473
26,NorahHead,15.375196985268927,22.607900136798907,3.3824792243767314,,,42.215042735042736,0.4117446227381359,0.04916353704335951,9.401367613605448,7.232922233641658,2.8367307209997352,S,,0.42698316246585727,0.3368236190469455,0.3819033907564014
27,NorfolkIsland,16.839959500506243,21.79274628879892,3.137567934782609,4.738026124818577,7.021750972762646,42.63997262149213,0.5226045883940621,0.0398110661268556,9.711373384651125,4.9542355720553495,1.3931435198273145,E,-1.6004581900359685,0.44684029845517614,0.0,0.22342014922758807
28,Nuriootpa,9.366432631227015,21.71465776293823,1.3813751668891856,5.084131944444445,7.675887521968366,40.660720296196565,0.3514323784143904,0.009327115256495669,4.383055121537358,12.363002680965147,5.383279993189549,SE,-3.7027567775552592,0.10553974786177567,0.9309948206506446,0.5182672842562102
29,PearceRAAF,12.386313868613138,26.271048798252004,1.6343537414965987,,8.894160319187524,43.44854881266491,0.2346125995655322,0.015206372194062274,5.243815954404433,13.861282051282052,4.731877252763626,E,,0.16067499536012772,0.7790068920314634,0.4698409436957956
